source_id,target_id,rel_type,rel_subtype,rel_desc_chn,direction,year_start,year_end,weight,evidence_level,source_ref,cbdb_assoc_code,cbdb_role_type,source_table,c_source,c_pages,c_sequence,c_text_title,orig_personid,orig_assoc_id
93080,94227,SOCIAL,SO_GIFT_POETRY,收到Y的贈詩、文,directed,,,0.5,primary,唐五代人交往詩索引,438,P,ASSOC_DATA,40303,780,,[n/a],94227,93080
93246,3702,SOCIAL,SO_GIFT_POETRY,收到Y的贈詩、文,directed,,,0.5,primary,唐五代人交往詩索引,438,P,ASSOC_DATA,40303,599,,[n/a],3702,93246
93246,3702,SOCIAL,SO_GIFT_POETRY,贈詩、文,directed,,,0.5,primary,唐五代人交往詩索引,437,A,ASSOC_DATA,40303,599,,[n/a],93246,3702
93246,17029,SOCIAL,SO_GIFT_POETRY,收到Y的贈詩、文,directed,,,0.5,primary,唐五代人交往詩索引,438,P,ASSOC_DATA,40303,598,,[n/a],17029,93246
93246,17029,SOCIAL,SO_GIFT_POETRY,贈詩、文,directed,,,0.5,primary,唐五代人交往詩索引,437,A,ASSOC_DATA,40303,598,,[n/a],93246,17029
93246,32540,LITERARY,LI_STYLE,文風為Y所稱道,directed,,,0.4,primary,禪月集,173,P,ASSOC_DATA,26199,,,禪月集序,32540,93246
93246,32540,LITERARY,LI_STYLE,稱道Y之文風,directed,,,0.4,primary,禪月集,172,A,ASSOC_DATA,26199,,,禪月集序,93246,32540
93246,33649,SOCIAL,SO_GIFT_POETRY,收到Y的贈詩、文,directed,,,0.5,primary,唐五代人交往詩索引,438,P,ASSOC_DATA,40303,599,,[n/a],33649,93246
93246,33649,SOCIAL,SO_GIFT_POETRY,贈詩、文,directed,,,0.5,primary,唐五代人交往詩索引,437,A,ASSOC_DATA,40303,599,,[n/a],93246,33649
93246,94717,SOCIAL,SO_GIFT_POETRY,贈詩、文,directed,,,0.5,primary,唐五代人交往詩索引,437,A,ASSOC_DATA,40303,599,,[n/a],93246,94717
93246,94717,SOCIAL,SO_GIFT_POETRY,收到Y的贈詩、文,directed,,,0.5,primary,唐五代人交往詩索引,438,P,ASSOC_DATA,40303,599,,[n/a],94717,93246
93347,93348,KIN,K_SIBLING,妹,undirected,,,0.9,primary,Pers DB / 唐代人物知識ベース,169,KIN,KIN_DATA,24309,pers01724,,,93347,93348
93347,93348,KIN,K_SIBLING,姊,undirected,,,0.9,primary,Pers DB / 唐代人物知識ベース,164,KIN,KIN_DATA,24309,pers01723,,,93348,93347
93663,3840,POLITICAL,PO_ADMIRE,被Y欣賞/器重,directed,,,0.5,primary,資治通鑑,17,P,ASSOC_DATA,3886,,,[n/a],3840,93663
93663,3840,POLITICAL,PO_ADMIRE,欣賞/器重,directed,,,0.5,primary,資治通鑑,18,A,ASSOC_DATA,3886,,,[n/a],93663,3840
93663,13060,KIN,K_AFFINAL,翁;公公;丈夫之父,directed,,,0.7,unsourced,,395,KIN,KIN_DATA,,,,,93663,13060
93663,19244,KIN,K_OTHER,孫,directed,,,0.7,unsourced,,243,KIN,KIN_DATA,,,,,93663,19244
93663,31322,POLITICAL,PO_ADMIRE,被Y欣賞/器重,directed,,,0.5,primary,舊唐書,17,P,ASSOC_DATA,4801,,,[n/a],31322,93663
93663,31322,POLITICAL,PO_ADMIRE,欣賞/器重,directed,,,0.5,primary,舊唐書,18,A,ASSOC_DATA,4801,,,[n/a],93663,31322
93663,31560,LITERARY,LI_PRAISE_POETRY,詩作為Y所稱道,directed,,,0.4,primary,舊唐書,70,P,ASSOC_DATA,4801,5025,,[n/a],31560,93663
93663,31560,LITERARY,LI_PRAISE_POETRY,稱道Y的詩作,directed,,,0.4,primary,舊唐書,71,A,ASSOC_DATA,4801,5025,,[n/a],93663,31560
93663,91931,POLITICAL,PO_ADMIRE,被Y欣賞/器重,directed,,,0.5,primary,資治通鑑,17,P,ASSOC_DATA,3886,,,[n/a],91931,93663
