source_id,target_id,rel_type,rel_subtype,rel_desc_chn,direction,year_start,year_end,weight,evidence_level,source_ref,cbdb_assoc_code,cbdb_role_type
31407,31367,SOCIAL,SO_GIFT_POETRY,收到Y的贈詩、文,directed,,,0.5,primary,textid=40303,438,P
31407,31575,SOCIAL,SO_GIFT_POETRY,贈詩、文,directed,,,0.5,primary,textid=40303,437,A
31407,91931,LITERARY,LI_PREAMBLE,為Y所著書作序,directed,,,0.4,primary,textid=9601,32,A
31407,92452,SOCIAL,SO_GIFT_POETRY,贈詩、文,directed,,,0.5,primary,textid=40303,437,A
31560,11605,SOCIAL,SO_GIFT_POETRY,收到Y的贈詩、文,directed,,,0.5,primary,textid=40303,438,P
31560,31110,SOCIAL,SO_GIFT_POETRY,收到Y的贈詩、文,directed,,,0.5,primary,textid=40303,438,P
31560,31143,SOCIAL,SO_GIFT_POETRY,收到Y的贈詩、文,directed,,,0.5,primary,textid=40303,438,P
31560,31367,SOCIAL,SO_GIFT_POETRY,收到Y的贈詩、文,directed,,,0.5,primary,textid=40303,438,P
31560,32198,SOCIAL,SO_GIFT_POETRY,贈詩、文,directed,,,0.5,primary,textid=40303,437,A
31560,32593,SOCIAL,SO_FRIEND,友,undirected,,,0.6,primary,新唐書,9,M
31560,32593,COLLEAGUE,CL_TONGLIAO,同僚,undirected,,,0.8,primary,舊唐書,197,M
31560,32593,SOCIAL,SO_GIFT_POETRY,贈詩、文,directed,,,0.5,primary,textid=40303,437,A
31560,92452,SOCIAL,SO_FRIEND,友,undirected,,,0.6,primary,新唐書,9,M
31560,92452,SOCIAL,SO_GIFT_POETRY,贈詩、文,directed,,,0.5,primary,textid=40303,437,A
31560,447292,SOCIAL,SO_GIFT_POETRY,贈詩、文,directed,,,0.5,primary,textid=40303,437,A
31575,19241,SOCIAL,SO_GIFT_POETRY,收到Y的贈詩、文,directed,,,0.5,primary,textid=40303,438,P
31575,31143,SOCIAL,SO_GIFT_POETRY,收到Y的贈詩、文,directed,,,0.5,primary,textid=40303,438,P
31575,32593,SOCIAL,SO_GIFT_POETRY,贈詩、文,directed,,,0.5,primary,textid=40303,437,A
31575,92452,SOCIAL,SO_GIFT_POETRY,贈詩、文,directed,,,0.5,primary,textid=40303,437,A
32054,32227,SOCIAL,SO_GIFT_POETRY,贈詩、文,directed,,,0.5,primary,textid=40303,437,A
32054,95068,SOCIAL,SO_CHANGHE,相唱和,undirected,,,0.6,primary,textid=9601,114,M
32174,3130,SOCIAL,SO_GIFT_POETRY,收到Y的贈詩、文,directed,734,,0.5,primary,textid=60019,438,P
32174,19244,SOCIAL,SO_GIFT_POETRY,收到Y的贈詩、文,directed,,,0.5,primary,textid=40303,438,P
32174,31221,SOCIAL,SO_GIFT_POETRY,收到Y的贈詩、文,directed,,,0.5,primary,textid=40303,438,P
32174,32534,SOCIAL,SO_GIFT_POETRY,贈詩、文,directed,,,0.5,primary,textid=40303,437,A
32174,93956,SOCIAL,SO_GIFT_POETRY,贈詩、文,directed,729,,0.5,primary,textid=60019,437,A
32198,19214,SOCIAL,SO_GIFT_POETRY,收到Y的贈詩、文,directed,,,0.5,primary,textid=40303,438,P
32198,19241,SOCIAL,SO_GIFT_POETRY,收到Y的贈詩、文,directed,,,0.5,primary,textid=40303,438,P
32198,31367,SOCIAL,SO_GIFT_POETRY,收到Y的贈詩、文,directed,,,0.5,primary,textid=40303,438,P
32198,32593,SOCIAL,SO_GIFT_POETRY,贈詩、文,directed,,,0.5,primary,textid=40303,437,A
32198,92452,SOCIAL,SO_GIFT_POETRY,贈詩、文,directed,,,0.5,primary,textid=40303,437,A
