c_personid,name_chn,name_rm,surname_chn,given_name_chn,birthyear,deathyear,is_female,dynasty_code,dynasty_chn,dynasty_en,role,bridge_tier
448009,李溟,Li Ming,李,溟,,,0,6,唐,Tang,bridge,B
448033,李道樞,Li Daoshu,李,道樞,,,0,6,唐,Tang,bridge,B
448069,李翥,Li Zhu,李,翥,,,0,6,唐,Tang,bridge,B
448124,李夷鄴,Li Yiye,李,夷鄴,,,0,6,唐,Tang,bridge,A
448162,李晟,Li Sheng,李,晟,,,0,6,唐,Tang,bridge,C
448187,李景儉,Li Jingjian,李,景儉,,,0,6,唐,Tang,bridge,B
448189,李景逵,Li Jingkui,李,景逵,,,0,6,唐,Tang,bridge,A
448191,李景逷,Li Jingti,李,景逷,,,0,6,唐,Tang,bridge,A
448192,李景遂,Li Jingsui,李,景遂,,,0,6,唐,Tang,bridge,A
448226,李隆業,Li Longye,李,隆業,,,0,6,唐,Tang,bridge,C
448280,李光顏,Li Guangyan,李,光顏,,,0,6,唐,Tang,bridge,B
448287,李炎,Li Yan,李,炎,,,0,6,唐,Tang,bridge,B
448317,韋班,Wei Ban,韋,班,,,0,6,唐,Tang,bridge,C
448363,韋向,Wei Xiang,韋,向,,,0,6,唐,Tang,bridge,C
448371,韋之晉,Wei Zhijin,韋,之晉,,,0,6,唐,Tang,bridge,C
448454,李蟲娘(李隆基女),Li Chongniang(Li Longji's Daughter),李,蟲娘(李隆基女),,,1,6,唐,Tang,bridge,C
448463,袁仁恭,Yuan Rengong,袁,仁恭,,,0,6,唐,Tang,bridge,C
448470,袁滋,Yuan Zi,袁,滋,,,0,6,唐,Tang,bridge,B
448507,姚紹之,Yao Shaozhi,姚,紹之,,,0,6,唐,Tang,bridge,C
448568,范希朝,Fan Xichao,范,希朝,,,0,6,唐,Tang,bridge,C
448620,蕭澣,Xiao Huan,蕭,澣,,,0,6,唐,Tang,bridge,C
448636,藤原刷雄,Tengyuan Shuaxiong,藤原,刷雄,,,0,6,唐,Tang,bridge,A
448663,蘇端,Su Duan,蘇,端,,,0,6,唐,Tang,bridge,C
448714,韓雲卿,Han Yunqing,韓,雲卿,,,0,6,唐,Tang,bridge,C
448799,薛邕,Xue Yong,薛,邕,,,0,6,唐,Tang,bridge,B
448861,釋楚雲,Shi Chuyun,釋,楚雲,,,0,6,唐,Tang,bridge,C
448891,蔡京,Cai Jing,蔡,京,,,0,6,唐,Tang,bridge,B
448894,蔡孚,Cai Fu,蔡,孚,,,0,6,唐,Tang,bridge,B
448900,李氏(李旦女),Li Shi(Li Dan's Daughter),李,氏(李旦女),,,1,6,唐,Tang,bridge,C
448912,杜亞,Du Ya,杜,亞,,,0,6,唐,Tang,bridge,B
448946,杜希望,Du Xiwang,杜,希望,,,0,6,唐,Tang,bridge,C
448969,杜兼,Du Jian,杜,兼,,,0,6,唐,Tang,bridge,C
448972,杜悰,Du Cong,杜,悰,,,0,6,唐,Tang,bridge,B
448979,權璩,Quan Qu,權,璩,,,0,6,唐,Tang,bridge,C
448985,權器,Quan Qi,權,器,,,0,6,唐,Tang,bridge,C
449024,獨孤郁,Dugu Yu,獨孤,郁,,,0,6,唐,Tang,bridge,B
449046,賀朝,He Chao,賀,朝,,,0,6,唐,Tang,bridge,C
449049,釋柏巖,Shi Baiyan,釋,柏巖,,,0,6,唐,Tang,bridge,B
449065,楊發,Yang Fa,楊,發,,,0,6,唐,Tang,bridge,C
449084,楊嶽,Yang Yue,楊,嶽,,,0,6,唐,Tang,bridge,C
449087,楊贊禹,Yang Zanyu,楊,贊禹,,,0,6,唐,Tang,bridge,B
449088,楊贊圖,Yang Zantu,楊,贊圖,,,0,6,唐,Tang,bridge,C
449112,楊凝,Yang Ning,楊,凝,,,0,6,唐,Tang,bridge,C
449121,楊戴,Yang Dai,楊,戴,,,0,6,唐,Tang,bridge,C
449143,楊轍,Yang Zhe,楊,轍,,,0,6,唐,Tang,bridge,B
449246,柳幷,Liu Bing,柳,幷,,,0,6,唐,Tang,bridge,A
449290,趙仙舟,Zhao Xianzhou,趙,仙舟,,,0,6,唐,Tang,bridge,C
449310,趙鴻,Zhao Hong,趙,鴻,,,0,6,唐,Tang,bridge,C
449314,趙載,Zhao Zai,趙,載,,,0,6,唐,Tang,bridge,A
449434,曹確,Cao Que,曹,確,,,0,6,唐,Tang,bridge,B
449450,費冠卿,Fei Guanqing,費,冠卿,,,0,6,唐,Tang,bridge,B
449535,釋圓昉,Shi Yuanfang,釋,圓昉,,,0,6,唐,Tang,bridge,C
449538,釋景玄,Shi Jingxuan,釋,景玄,,,0,6,唐,Tang,bridge,C
449550,羅虬,Luo Qiu,羅,虬,,,0,6,唐,Tang,bridge,C
449569,嚴綬,Yan Shou,嚴,綬,,,0,6,唐,Tang,bridge,B
449580,嚴士元,Yan Shiyuan,嚴,士元,,,0,6,唐,Tang,bridge,C
449581,嚴士良,Yan Shiliang,嚴,士良,,,0,6,唐,Tang,bridge,C
449589,嚴惲,Yan Yun,嚴,惲,,,0,6,唐,Tang,bridge,B
449610,喻坦之,Yu Tanzhi,喻,坦之,,,0,6,唐,Tang,bridge,B
449624,厲玄,Li Xuan,厲,玄,,,0,6,唐,Tang,bridge,B
449660,馬擇,Ma Ze,馬,擇,,,0,6,唐,Tang,bridge,C
449744,劉舟,Liu Zhou,劉,舟,,,0,6,唐,Tang,bridge,A
449754,劉憲,Liu Xian,劉,憲,,,0,6,唐,Tang,bridge,C
