c_personid,name_chn,name_rm,surname_chn,given_name_chn,birthyear,deathyear,fl_earliest_year,fl_latest_year,is_female,dynasty_code,dynasty_chn,dynasty_en,aliases
92899,李百藥,Li Baiyao,李,百藥,565,648,581,636,0,5,隋,Sui,奇童(未詳); 重規(字); 康(諡號)
92982,李紳,Li Shen,李,紳,772,846,,,0,6,唐,Tang,短李(未詳); 公垂(字); 文肅(諡號); 李二十(行第)
93080,李頻,Li Pin,李,頻,,876,875,,0,6,唐,Tang,德新(字)
93246,吳融,Wu Rong,吳,融,,903,901,903,0,6,唐,Tang,子華(字); 吳大(行第)
93347,宋若昭,Song Ruozhao,宋,若昭,,825,788,,1,6,唐,Tang,
93348,宋若憲,Song Ruoxian,宋,若憲,,835,788,,1,6,唐,Tang,
93409,張旭,Zhang Xu,張,旭,,,,,0,6,唐,Tang,張長史(未詳); 張顛(未詳); 伯高(字); 張九(行第)
93663,武曌（武則天）,Wu Zhao(Wu Zetian),武,曌（武則天）,624,705,,,1,6,唐,Tang,武則天(未詳); 武媚(未詳); 則天大聖皇后(諡號); 則天順聖皇后(諡號); 則天大聖皇帝(尊號); 大聖天后(尊號); 天冊金輪聖神皇帝(尊號); 天后(尊號); 慈氏越古金輪聖神皇帝(尊號); 聖帝天后(尊號); 聖母神皇(尊號); 聖神皇帝(尊號); 越古金輪聖神皇帝(尊號); 金輪聖神皇帝(尊號)
93785,周賀,Zhou He,周,賀,,,,,0,6,唐,Tang,淸塞(未詳); 南卿(字)
93803,魚玄機,Yu Xuanji,魚,玄機,844,868,,,1,6,唐,Tang,魚元機(别名、曾用名); 幼微(字); 蕙蘭(字)
93832,鄭谷,Zheng Gu,鄭,谷,851,,893,897,0,6,唐,Tang,鄭都官(未詳); 守愚(字)
93952,孟郊,Meng Jiao,孟,郊,751,814,800,814,0,6,唐,Tang,貞曜先生(未詳); 東野(字); 孟十二(行第)
93956,孟浩然,Meng Haoran,孟,浩然,689,740,737,,0,6,唐,Tang,浩然(字); 孟六(行第)
94116,皇甫湜,Huangfu Shi,皇甫,湜,777,835,,,0,6,唐,Tang,持正(字)
94160,姚合,Yao He,姚,合,781,846,826,846,0,6,唐,Tang,大凝(字); 懿(諡號)
94183,釋貫休,Shi  Guanxiu,釋,貫休,832,912,,,0,6,唐,Tang,禪月大師(未詳); 貫休(未詳); 德隱(字); 貫休(法號)
94227,賈島,Jia Dao,賈,島,779,843,837,843,0,6,唐,Tang,無本(未詳); 碣石上人(未詳); 苦吟客(未詳); 浪仙(字); 閬仙(字)
94271,錢起,Qian Qi,錢,起,710,782,759,780,0,6,唐,Tang,仲文(字); 錢大(行第)
94412,唐彥謙,Tang Yanqian,唐,彥謙,,893,882,887,0,6,唐,Tang,鹿門先生(未詳); 茂業(字)
94575,崔塗,Cui Tu,崔,塗,850,,,,0,6,唐,Tang,禮仙(字); 禮山(字)
94595,釋皎然,Shi  Jiaoran,釋,皎然,,,,,0,6,唐,Tang,皎然(未詳); 淸晝(字); 皎然(法號)
94717,韓偓,Han Wo,韓,偓,842,914,901,905,0,6,唐,Tang,玉山樵人(未詳); 致光(字); 致曉(字)
94864,雍陶,Yong Tao,雍,陶,,,854,854,0,6,唐,Tang,國鈞(字)
95025,顏真卿,Yan Zhenqing,顏,真卿,709,784,736,782,0,6,唐,Tang,顏魯公(未詳); 淸臣(字); 文忠(諡號); 顏十三(行第)
95068,薛濤,Xue Tao,薛,濤,770,832,,,1,6,唐,Tang,洪度(字); 女校書(室名、別號)
95071,薛能,Xue Neng,薛,能,,880,854,870,0,6,唐,Tang,大拙(字)
95210,崔鶯鶯,Cui Yingying,崔,鶯鶯,784,,,,1,6,唐,Tang,
139166,尉遲恭,Yuchi Gong,尉遲,恭,585,658,,,0,6,唐,Tang,敬德(字); 忠武公(諡號)
146097,李光弼,Li Guangbi,李,光弼,,764,,,0,6,唐,Tang,
188616,李煜,Li Yu,李,煜,,712,,,0,6,唐,Tang,
195105,司空圖,Sikong Tu,司空,圖,836,908,,,0,6,唐,Tang,
379873,安祿山,An Lushan,安,祿山,,,,,0,6,唐,Tang,
444817,韋氏（中宗韋后）,Wei Shi(Wife of Emperor Zhongzong of Tang),韋,氏（中宗韋后）,,710,,,1,6,唐,Tang,韋庶人(未詳)
445983,張徹,Zhang Che,張,徹,,,,,0,6,唐,Tang,
447292,李裹兒（安樂公主）,Li Guo'er(Anle Princess),李,裹兒（安樂公主）,,710,,,1,6,唐,Tang,悖逆庶人(别名、曾用名); 安樂公主(封爵)
447419,顧非熊,Gu Feixiong,顧,非熊,,,,,0,6,唐,Tang,
447567,溫庭筠,Wen Tingjun,溫,庭筠,,,,,0,6,唐,Tang,
448874,黃滔,Huang Tao,黃,滔,,,,,0,6,唐,Tang,
450129,釋鑒真,Shi Jianzhen,釋,鑒真,,,,,0,6,唐,Tang,鑒真(法號)
450316,鄭巢,Zheng Chao,鄭,巢,,,,,0,6,唐,Tang,
