source_id,target_id,rel_type,rel_subtype,rel_desc_chn,direction,year_start,year_end,weight,evidence_level,source_ref,cbdb_assoc_code,cbdb_role_type,evidence_count,evidence_list,primary_rel,is_bridge
3130,12261,SOCIAL,SO_CHANGHE,相唱和,undirected,737,,0.6,primary,王維年譜,114,M,2,"[{""source_table"": ""ASSOC_DATA"", ""c_source"": 60019, ""c_pages"": ""68"", ""c_sequence"": 20, ""c_text_title"": ""[n/a]"", ""orig_personid"": 3130, ""orig_assoc_id"": 12261, ""cbdb_assoc_code"": 114}, {""source_table"": ""ASSOC_DATA"", ""c_source"": 60019, ""c_pages"": ""68"", ""c_sequence"": 20, ""c_text_title"": ""[n/a]"", ""orig_personid"": 12261, ""orig_assoc_id"": 3130, ""cbdb_assoc_code"": 114}]",1,0
3130,19244,SOCIAL,SO_GIFT_POETRY,贈詩、文,directed,,,0.5,primary,唐五代人交往詩索引,437,A,2,"[{""source_table"": ""ASSOC_DATA"", ""c_source"": ""40303"", ""c_pages"": ""256"", ""c_sequence"": """", ""c_text_title"": ""[n/a]"", ""orig_personid"": ""3130"", ""orig_assoc_id"": ""19244"", ""cbdb_assoc_code"": ""437""}, {""source_table"": ""ASSOC_DATA"", ""c_source"": ""40303"", ""c_pages"": ""256"", ""c_sequence"": """", ""c_text_title"": ""[n/a]"", ""orig_personid"": ""19244"", ""orig_assoc_id"": ""3130"", ""cbdb_assoc_code"": ""438""}]",1,0
3130,22451,SOCIAL,SO_CHANGHE,相唱和,undirected,737,,0.6,primary,王維年譜,114,M,2,"[{""source_table"": ""ASSOC_DATA"", ""c_source"": 60019, ""c_pages"": ""68"", ""c_sequence"": 20, ""c_text_title"": ""[n/a]"", ""orig_personid"": 3130, ""orig_assoc_id"": 22451, ""cbdb_assoc_code"": 114}, {""source_table"": ""ASSOC_DATA"", ""c_source"": 60019, ""c_pages"": ""68"", ""c_sequence"": 20, ""c_text_title"": ""[n/a]"", ""orig_personid"": 22451, ""orig_assoc_id"": 3130, ""cbdb_assoc_code"": 114}]",1,0
3130,26935,SOCIAL,SO_GIFT_POETRY,贈詩、文,directed,,,0.5,primary,唐五代人交往詩索引,437,A,2,"[{""source_table"": ""ASSOC_DATA"", ""c_source"": ""40303"", ""c_pages"": ""257"", ""c_sequence"": """", ""c_text_title"": ""[n/a]"", ""orig_personid"": ""3130"", ""orig_assoc_id"": ""26935"", ""cbdb_assoc_code"": ""437""}, {""source_table"": ""ASSOC_DATA"", ""c_source"": ""40303"", ""c_pages"": ""257"", ""c_sequence"": """", ""c_text_title"": ""[n/a]"", ""orig_personid"": ""26935"", ""orig_assoc_id"": ""3130"", ""cbdb_assoc_code"": ""438""}]",1,0
3130,31046,SOCIAL,SO_GIFT_POETRY,贈詩、文,directed,,,0.5,primary,唐五代人交往詩索引,437,A,1,"[{""source_table"": ""ASSOC_DATA"", ""c_source"": 40303, ""c_pages"": ""256"", ""c_sequence"": """", ""c_text_title"": ""[n/a]"", ""orig_personid"": 3130, ""orig_assoc_id"": 31046, ""cbdb_assoc_code"": 437}]",1,0
3130,31082,SOCIAL,SO_GIFT_POETRY,贈詩、文,directed,,,0.5,primary,唐五代人交往詩索引,437,A,1,"[{""source_table"": ""ASSOC_DATA"", ""c_source"": 40303, ""c_pages"": ""257"", ""c_sequence"": """", ""c_text_title"": ""[n/a]"", ""orig_personid"": 3130, ""orig_assoc_id"": 31082, ""cbdb_assoc_code"": 437}]",1,0
3130,31407,LITERARY,LI_EPITAPH,為Y作墓誌銘,directed,732,,0.4,unsourced,,44,A,2,"[{""source_table"": ""ASSOC_DATA"", ""c_source"": """", ""c_pages"": """", ""c_sequence"": ""0"", ""c_text_title"": ""[n/a]"", ""orig_personid"": ""3130"", ""orig_assoc_id"": ""31407"", ""cbdb_assoc_code"": ""44""}, {""source_table"": ""ASSOC_DATA"", ""c_source"": """", ""c_pages"": """", ""c_sequence"": ""0"", ""c_text_title"": ""[n/a]"", ""orig_personid"": ""31407"", ""orig_assoc_id"": ""3130"", ""cbdb_assoc_code"": ""43""}]",1,0
3130,31407,SOCIAL,SO_GIFT_POETRY,贈詩、文,directed,,,0.5,primary,唐五代人交往詩索引,437,A,2,"[{""source_table"": ""ASSOC_DATA"", ""c_source"": ""40303"", ""c_pages"": ""254"", ""c_sequence"": """", ""c_text_title"": ""[n/a]"", ""orig_personid"": ""3130"", ""orig_assoc_id"": ""31407"", ""cbdb_assoc_code"": ""437""}, {""source_table"": ""ASSOC_DATA"", ""c_source"": ""40303"", ""c_pages"": ""254"", ""c_sequence"": """", ""c_text_title"": ""[n/a]"", ""orig_personid"": ""31407"", ""orig_assoc_id"": ""3130"", ""cbdb_assoc_code"": ""438""}]",0,0
3130,31847,SOCIAL,SO_GIFT_POETRY,贈詩、文,directed,,,0.5,primary,唐五代人交往詩索引,437,A,1,"[{""source_table"": ""ASSOC_DATA"", ""c_source"": 40303, ""c_pages"": ""255"", ""c_sequence"": """", ""c_text_title"": ""[n/a]"", ""orig_personid"": 3130, ""orig_assoc_id"": 31847, ""cbdb_assoc_code"": 437}]",1,0
3130,32174,COLLEAGUE,CL_RECOMMEND,推薦,directed,735,,0.7,primary,王維年譜,13,A,2,"[{""source_table"": ""ASSOC_DATA"", ""c_source"": ""60019"", ""c_pages"": ""63"", ""c_sequence"": ""18"", ""c_text_title"": ""[n/a]"", ""orig_personid"": ""3130"", ""orig_assoc_id"": ""32174"", ""cbdb_assoc_code"": ""13""}, {""source_table"": ""ASSOC_DATA"", ""c_source"": ""60019"", ""c_pages"": ""63"", ""c_sequence"": ""18"", ""c_text_title"": ""[n/a]"", ""orig_personid"": ""32174"", ""orig_assoc_id"": ""3130"", ""cbdb_assoc_code"": ""14""}]",1,0
3130,32174,SOCIAL,SO_CHANGHE,相唱和,undirected,737,,0.6,primary,王維年譜,114,M,2,"[{""source_table"": ""ASSOC_DATA"", ""c_source"": ""60019"", ""c_pages"": ""68"", ""c_sequence"": ""20"", ""c_text_title"": ""[n/a]"", ""orig_personid"": ""3130"", ""orig_assoc_id"": ""32174"", ""cbdb_assoc_code"": ""114""}, {""source_table"": ""ASSOC_DATA"", ""c_source"": ""60019"", ""c_pages"": ""68"", ""c_sequence"": ""20"", ""c_text_title"": ""[n/a]"", ""orig_personid"": ""32174"", ""orig_assoc_id"": ""3130"", ""cbdb_assoc_code"": ""114""}]",0,0
3130,32534,SOCIAL,SO_GIFT_POETRY,贈詩、文,directed,,,0.5,primary,唐五代人交往詩索引,437,A,2,"[{""source_table"": ""ASSOC_DATA"", ""c_source"": ""40303"", ""c_pages"": ""255"", ""c_sequence"": """", ""c_text_title"": ""[n/a]"", ""orig_personid"": ""3130"", ""orig_assoc_id"": ""32534"", ""cbdb_assoc_code"": ""437""}, {""source_table"": ""ASSOC_DATA"", ""c_source"": ""40303"", ""c_pages"": ""255"", ""c_sequence"": """", ""c_text_title"": ""[n/a]"", ""orig_personid"": ""32534"", ""orig_assoc_id"": ""3130"", ""cbdb_assoc_code"": ""438""}]",1,0
3130,32847,POLITICAL,PO_ADMIRE,欣賞/器重,directed,732,,0.5,unsourced,,18,A,2,"[{""source_table"": ""ASSOC_DATA"", ""c_source"": """", ""c_pages"": """", ""c_sequence"": ""0"", ""c_text_title"": ""[n/a]"", ""orig_personid"": ""3130"", ""orig_assoc_id"": ""32847"", ""cbdb_assoc_code"": ""18""}, {""source_table"": ""ASSOC_DATA"", ""c_source"": """", ""c_pages"": """", ""c_sequence"": ""0"", ""c_text_title"": ""[n/a]"", ""orig_personid"": ""32847"", ""orig_assoc_id"": ""3130"", ""cbdb_assoc_code"": ""17""}]",1,0
3130,92076,SOCIAL,SO_GIFT_POETRY,贈詩、文,directed,,,0.5,primary,唐五代人交往詩索引,437,A,1,"[{""source_table"": ""ASSOC_DATA"", ""c_source"": 40303, ""c_pages"": ""254"", ""c_sequence"": """", ""c_text_title"": ""[n/a]"", ""orig_personid"": 3130, ""orig_assoc_id"": 92076, ""cbdb_assoc_code"": 437}]",1,0
3130,92452,SOCIAL,SO_GIFT_POETRY,贈詩、文,directed,,,0.5,primary,唐五代人交往詩索引,437,A,2,"[{""source_table"": ""ASSOC_DATA"", ""c_source"": ""40303"", ""c_pages"": ""255"", ""c_sequence"": """", ""c_text_title"": ""[n/a]"", ""orig_personid"": ""3130"", ""orig_assoc_id"": ""92452"", ""cbdb_assoc_code"": ""437""}, {""source_table"": ""ASSOC_DATA"", ""c_source"": ""40303"", ""c_pages"": ""255"", ""c_sequence"": """", ""c_text_title"": ""[n/a]"", ""orig_personid"": ""92452"", ""orig_assoc_id"": ""3130"", ""cbdb_assoc_code"": ""438""}]",1,0
3130,93476,SOCIAL,SO_GIFT_POETRY,贈詩、文,directed,,,0.5,primary,唐五代人交往詩索引,437,A,1,"[{""source_table"": ""ASSOC_DATA"", ""c_source"": 40303, ""c_pages"": ""246"", ""c_sequence"": """", ""c_text_title"": ""[n/a]"", ""orig_personid"": 93476, ""orig_assoc_id"": 3130, ""cbdb_assoc_code"": 437}]",0,0
3130,94500,SOCIAL,SO_GIFT_POETRY,贈詩、文,directed,,,0.5,primary,唐五代人交往詩索引,437,A,1,"[{""source_table"": ""ASSOC_DATA"", ""c_source"": 40303, ""c_pages"": ""255"", ""c_sequence"": """", ""c_text_title"": ""[n/a]"", ""orig_personid"": 3130, ""orig_assoc_id"": 94500, ""cbdb_assoc_code"": 437}]",1,0
3130,94870,SOCIAL,SO_GIFT_POETRY,贈詩、文,directed,,,0.5,primary,唐五代人交往詩索引,437,A,1,"[{""source_table"": ""ASSOC_DATA"", ""c_source"": 40303, ""c_pages"": ""656"", ""c_sequence"": """", ""c_text_title"": ""[n/a]"", ""orig_personid"": 94870, ""orig_assoc_id"": 3130, ""cbdb_assoc_code"": 437}]",0,0
3130,94901,SOCIAL,SO_GIFT_POETRY,贈詩、文,directed,,,0.5,primary,唐五代人交往詩索引,437,A,1,"[{""source_table"": ""ASSOC_DATA"", ""c_source"": 40303, ""c_pages"": ""257"", ""c_sequence"": """", ""c_text_title"": ""[n/a]"", ""orig_personid"": 3130, ""orig_assoc_id"": 94901, ""cbdb_assoc_code"": 437}]",1,0
3130,174518,SOCIAL,SO_GIFT_POETRY,贈詩、文,directed,,,0.5,primary,唐五代人交往詩索引,437,A,1,"[{""source_table"": ""ASSOC_DATA"", ""c_source"": 40303, ""c_pages"": ""255"", ""c_sequence"": """", ""c_text_title"": ""[n/a]"", ""orig_personid"": 3130, ""orig_assoc_id"": 174518, ""cbdb_assoc_code"": 437}]",1,0
3130,339631,SOCIAL,SO_GIFT_POETRY,贈詩、文,directed,,,0.5,primary,唐五代人交往詩索引,437,A,1,"[{""source_table"": ""ASSOC_DATA"", ""c_source"": 40303, ""c_pages"": ""255"", ""c_sequence"": """", ""c_text_title"": ""[n/a]"", ""orig_personid"": 3130, ""orig_assoc_id"": 339631, ""cbdb_assoc_code"": 437}]",1,0
3130,448894,SOCIAL,SO_GIFT_POETRY,贈詩、文,directed,,,0.5,primary,唐五代人交往詩索引,437,A,1,"[{""source_table"": ""ASSOC_DATA"", ""c_source"": 40303, ""c_pages"": ""257"", ""c_sequence"": """", ""c_text_title"": ""[n/a]"", ""orig_personid"": 3130, ""orig_assoc_id"": 448894, ""cbdb_assoc_code"": 437}]",1,0
3130,449894,SOCIAL,SO_GIFT_POETRY,贈詩、文,directed,,,0.5,primary,唐五代人交往詩索引,437,A,1,"[{""source_table"": ""ASSOC_DATA"", ""c_source"": 40303, ""c_pages"": ""258"", ""c_sequence"": """", ""c_text_title"": ""[n/a]"", ""orig_personid"": 3130, ""orig_assoc_id"": 449894, ""cbdb_assoc_code"": 437}]",1,0
3332,3605,SOCIAL,SO_FRIEND,友,undirected,,,0.6,primary,人名權威資料（中央研究院歷史語言研究所）,9,M,2,"[{""source_table"": ""ASSOC_DATA"", ""c_source"": ""9602"", ""c_pages"": ""18182"", ""c_sequence"": """", ""c_text_title"": ""[n/a]"", ""orig_personid"": ""3332"", ""orig_assoc_id"": ""3605"", ""cbdb_assoc_code"": ""9""}, {""source_table"": ""ASSOC_DATA"", ""c_source"": ""9602"", ""c_pages"": ""18228"", ""c_sequence"": """", ""c_text_title"": ""[n/a]"", ""orig_personid"": ""3605"", ""orig_assoc_id"": ""3332"", ""cbdb_assoc_code"": ""9""}]",0,0
3332,3605,LITERARY,LI_EPITAPH,為Y作墓誌銘,directed,,,0.4,unsourced,,44,A,2,"[{""source_table"": ""ASSOC_DATA"", ""c_source"": """", ""c_pages"": """", ""c_sequence"": """", ""c_text_title"": ""[n/a]"", ""orig_personid"": ""3332"", ""orig_assoc_id"": ""3605"", ""cbdb_assoc_code"": ""44""}, {""source_table"": ""ASSOC_DATA"", ""c_source"": """", ""c_pages"": """", ""c_sequence"": """", ""c_text_title"": ""[n/a]"", ""orig_personid"": ""3605"", ""orig_assoc_id"": ""3332"", ""cbdb_assoc_code"": ""43""}]",0,0
3332,3605,COLLEAGUE,CL_TONGLIAO,同僚,undirected,803,,0.8,unsourced,,197,M,2,"[{""source_table"": ""ASSOC_DATA"", ""c_source"": """", ""c_pages"": """", ""c_sequence"": """", ""c_text_title"": ""[n/a]"", ""orig_personid"": ""3332"", ""orig_assoc_id"": ""3605"", ""cbdb_assoc_code"": ""197""}, {""source_table"": ""ASSOC_DATA"", ""c_source"": """", ""c_pages"": """", ""c_sequence"": """", ""c_text_title"": ""[n/a]"", ""orig_personid"": ""3605"", ""orig_assoc_id"": ""3332"", ""cbdb_assoc_code"": ""197""}]",1,0
3332,3605,SOCIAL,SO_GIFT_POETRY,贈詩、文,directed,,,0.5,primary,唐五代人交往詩索引,437,A,2,"[{""source_table"": ""ASSOC_DATA"", ""c_source"": ""40303"", ""c_pages"": ""1048"", ""c_sequence"": """", ""c_text_title"": ""[n/a]"", ""orig_personid"": ""3332"", ""orig_assoc_id"": ""3605"", ""cbdb_assoc_code"": ""437""}, {""source_table"": ""ASSOC_DATA"", ""c_source"": ""40303"", ""c_pages"": ""1048"", ""c_sequence"": """", ""c_text_title"": ""[n/a]"", ""orig_personid"": ""3605"", ""orig_assoc_id"": ""3332"", ""cbdb_assoc_code"": ""438""}]",0,0
3332,3915,SOCIAL,SO_GIFT_POETRY,贈詩、文,directed,,,0.5,primary,唐五代人交往詩索引,437,A,2,"[{""source_table"": ""ASSOC_DATA"", ""c_source"": ""40303"", ""c_pages"": ""1048"", ""c_sequence"": """", ""c_text_title"": ""[n/a]"", ""orig_personid"": ""3332"", ""orig_assoc_id"": ""3915"", ""cbdb_assoc_code"": ""437""}, {""source_table"": ""ASSOC_DATA"", ""c_source"": ""40303"", ""c_pages"": ""1048"", ""c_sequence"": """", ""c_text_title"": ""[n/a]"", ""orig_personid"": ""3915"", ""orig_assoc_id"": ""3332"", ""cbdb_assoc_code"": ""438""}]",1,0
3332,13575,SOCIAL,SO_FRIEND,友,undirected,,,0.6,primary,人名權威資料（中央研究院歷史語言研究所）,9,M,2,"[{""source_table"": ""ASSOC_DATA"", ""c_source"": ""9602"", ""c_pages"": ""18182"", ""c_sequence"": """", ""c_text_title"": ""[n/a]"", ""orig_personid"": ""3332"", ""orig_assoc_id"": ""13575"", ""cbdb_assoc_code"": ""9""}, {""source_table"": ""ASSOC_DATA"", ""c_source"": ""9602"", ""c_pages"": ""18182"", ""c_sequence"": """", ""c_text_title"": ""[n/a]"", ""orig_personid"": ""13575"", ""orig_assoc_id"": ""3332"", ""cbdb_assoc_code"": ""9""}]",0,0
3332,13575,COLLEAGUE,CL_RECOMMEND,推薦,directed,824,,0.7,unsourced,,13,A,2,"[{""source_table"": ""ASSOC_DATA"", ""c_source"": """", ""c_pages"": """", ""c_sequence"": ""0"", ""c_text_title"": ""[n/a]"", ""orig_personid"": ""3332"", ""orig_assoc_id"": ""13575"", ""cbdb_assoc_code"": ""13""}, {""source_table"": ""ASSOC_DATA"", ""c_source"": """", ""c_pages"": """", ""c_sequence"": ""0"", ""c_text_title"": ""[n/a]"", ""orig_personid"": ""13575"", ""orig_assoc_id"": ""3332"", ""cbdb_assoc_code"": ""14""}]",0,0
3332,13575,SOCIAL,SO_GIFT_POETRY,贈詩、文,directed,,,0.5,primary,唐五代人交往詩索引,437,A,2,"[{""source_table"": ""ASSOC_DATA"", ""c_source"": ""40303"", ""c_pages"": ""1043"", ""c_sequence"": """", ""c_text_title"": ""[n/a]"", ""orig_personid"": ""3332"", ""orig_assoc_id"": ""13575"", ""cbdb_assoc_code"": ""437""}, {""source_table"": ""ASSOC_DATA"", ""c_source"": ""40303"", ""c_pages"": ""1043"", ""c_sequence"": """", ""c_text_title"": ""[n/a]"", ""orig_personid"": ""13575"", ""orig_assoc_id"": ""3332"", ""cbdb_assoc_code"": ""438""}]",0,0
3332,13624,LITERARY,LI_EPITAPH,為Y作墓誌銘,directed,824,,0.4,unsourced,,44,A,2,"[{""source_table"": ""ASSOC_DATA"", ""c_source"": """", ""c_pages"": """", ""c_sequence"": ""0"", ""c_text_title"": ""[n/a]"", ""orig_personid"": ""3332"", ""orig_assoc_id"": ""13624"", ""cbdb_assoc_code"": ""44""}, {""source_table"": ""ASSOC_DATA"", ""c_source"": """", ""c_pages"": """", ""c_sequence"": ""0"", ""c_text_title"": ""[n/a]"", ""orig_personid"": ""13624"", ""orig_assoc_id"": ""3332"", ""cbdb_assoc_code"": ""43""}]",1,0
3332,13629,SOCIAL,SO_GIFT_POETRY,贈詩、文,directed,,,0.5,primary,唐五代人交往詩索引,437,A,1,"[{""source_table"": ""ASSOC_DATA"", ""c_source"": 40303, ""c_pages"": ""1047"", ""c_sequence"": """", ""c_text_title"": ""[n/a]"", ""orig_personid"": 3332, ""orig_assoc_id"": 13629, ""cbdb_assoc_code"": 437}]",1,0
3332,22469,SOCIAL,SO_GIFT_POETRY,贈詩、文,directed,,,0.5,primary,唐五代人交往詩索引,437,A,2,"[{""source_table"": ""ASSOC_DATA"", ""c_source"": ""40303"", ""c_pages"": ""1047"", ""c_sequence"": """", ""c_text_title"": ""[n/a]"", ""orig_personid"": ""3332"", ""orig_assoc_id"": ""22469"", ""cbdb_assoc_code"": ""437""}, {""source_table"": ""ASSOC_DATA"", ""c_source"": ""40303"", ""c_pages"": ""1047"", ""c_sequence"": """", ""c_text_title"": ""[n/a]"", ""orig_personid"": ""22469"", ""orig_assoc_id"": ""3332"", ""cbdb_assoc_code"": ""438""}]",0,0
3332,22469,KIN,K_OTHER,姪女之夫,directed,,,0.7,primary,Pers DB / 唐代人物知識ベース,178,KIN,1,"[{""source_table"": ""KIN_DATA"", ""c_source"": ""24309"", ""c_pages"": ""pers01459"", ""c_sequence"": """", ""c_text_title"": """", ""orig_personid"": ""3332"", ""orig_assoc_id"": ""22469"", ""cbdb_assoc_code"": ""178""}]",1,0
3332,22572,SOCIAL,SO_GIFT_POETRY,贈詩、文,directed,,,0.5,primary,唐五代人交往詩索引,437,A,1,"[{""source_table"": ""ASSOC_DATA"", ""c_source"": 40303, ""c_pages"": ""1048"", ""c_sequence"": """", ""c_text_title"": ""[n/a]"", ""orig_personid"": 3332, ""orig_assoc_id"": 22572, ""cbdb_assoc_code"": 437}]",1,0
3332,24654,SOCIAL,SO_GIFT_POETRY,贈詩、文,directed,,,0.5,primary,唐五代人交往詩索引,437,A,2,"[{""source_table"": ""ASSOC_DATA"", ""c_source"": ""40303"", ""c_pages"": ""1044"", ""c_sequence"": """", ""c_text_title"": ""[n/a]"", ""orig_personid"": ""3332"", ""orig_assoc_id"": ""24654"", ""cbdb_assoc_code"": ""437""}, {""source_table"": ""ASSOC_DATA"", ""c_source"": ""40303"", ""c_pages"": ""1044"", ""c_sequence"": """", ""c_text_title"": ""[n/a]"", ""orig_personid"": ""24654"", ""orig_assoc_id"": ""3332"", ""cbdb_assoc_code"": ""438""}]",1,0
3332,30868,SOCIAL,SO_GIFT_POETRY,贈詩、文,directed,,,0.5,primary,唐五代人交往詩索引,437,A,1,"[{""source_table"": ""ASSOC_DATA"", ""c_source"": 40303, ""c_pages"": ""1048"", ""c_sequence"": """", ""c_text_title"": ""[n/a]"", ""orig_personid"": 3332, ""orig_assoc_id"": 30868, ""cbdb_assoc_code"": 437}]",1,0
3332,31042,SOCIAL,SO_GIFT_POETRY,贈詩、文,directed,,,0.5,primary,唐五代人交往詩索引,437,A,1,"[{""source_table"": ""ASSOC_DATA"", ""c_source"": 40303, ""c_pages"": ""1047"", ""c_sequence"": """", ""c_text_title"": ""[n/a]"", ""orig_personid"": 3332, ""orig_assoc_id"": 31042, ""cbdb_assoc_code"": 437}]",1,0
3332,32227,SOCIAL,SO_GIFT_POETRY,贈詩、文,directed,,,0.5,primary,唐五代人交往詩索引,437,A,2,"[{""source_table"": ""ASSOC_DATA"", ""c_source"": ""40303"", ""c_pages"": ""1045"", ""c_sequence"": """", ""c_text_title"": ""[n/a]"", ""orig_personid"": ""3332"", ""orig_assoc_id"": ""32227"", ""cbdb_assoc_code"": ""437""}, {""source_table"": ""ASSOC_DATA"", ""c_source"": ""40303"", ""c_pages"": ""1045"", ""c_sequence"": """", ""c_text_title"": ""[n/a]"", ""orig_personid"": ""32227"", ""orig_assoc_id"": ""3332"", ""cbdb_assoc_code"": ""438""}]",1,0
3332,32248,SOCIAL,SO_FRIEND,友,undirected,,,0.6,primary,人名權威資料（中央研究院歷史語言研究所）,9,M,2,"[{""source_table"": ""ASSOC_DATA"", ""c_source"": ""9602"", ""c_pages"": ""18100"", ""c_sequence"": """", ""c_text_title"": ""[n/a]"", ""orig_personid"": ""3332"", ""orig_assoc_id"": ""32248"", ""cbdb_assoc_code"": ""9""}, {""source_table"": ""ASSOC_DATA"", ""c_source"": ""9602"", ""c_pages"": ""18100"", ""c_sequence"": """", ""c_text_title"": ""[n/a]"", ""orig_personid"": ""32248"", ""orig_assoc_id"": ""3332"", ""cbdb_assoc_code"": ""9""}]",1,0
3332,32540,SOCIAL,SO_GIFT_POETRY,贈詩、文,directed,,,0.5,primary,唐五代人交往詩索引,437,A,2,"[{""source_table"": ""ASSOC_DATA"", ""c_source"": ""40303"", ""c_pages"": ""1047"", ""c_sequence"": """", ""c_text_title"": ""[n/a]"", ""orig_personid"": ""3332"", ""orig_assoc_id"": ""32540"", ""cbdb_assoc_code"": ""437""}, {""source_table"": ""ASSOC_DATA"", ""c_source"": ""40303"", ""c_pages"": ""1047"", ""c_sequence"": """", ""c_text_title"": ""[n/a]"", ""orig_personid"": ""32540"", ""orig_assoc_id"": ""3332"", ""cbdb_assoc_code"": ""438""}]",1,0
3332,32641,SOCIAL,SO_GIFT_POETRY,贈詩、文,directed,,,0.5,primary,唐五代人交往詩索引,437,A,1,"[{""source_table"": ""ASSOC_DATA"", ""c_source"": 40303, ""c_pages"": ""1045"", ""c_sequence"": """", ""c_text_title"": ""[n/a]"", ""orig_personid"": 3332, ""orig_assoc_id"": 32641, ""cbdb_assoc_code"": 437}]",1,0
